safe,5,2204259
g4,1,2059731,"mlp-fim,mlpg4,mlp:fim,gen_4,generation_4,my_little_pony:_friendship_is_magic,my_little_pony_friendship_is_magic,spoiler:g4,mlp_g4,fim,mylittleponyfriendshipismagic,mlpfim,mlp_fim"
female,0,1836396,"girl,girls,females"
pony,3,1634627,"ponu,小马,ponr,pont,ponh,pona,pon,pon6,ponies,ponz"
solo,0,1450934
oc,4,963353,"oc_pony,ocs,original_character,original_characters,originalcharacter,orginal_character,fan_character"
mare,0,762652,mares
oc_only,4,701451,"oconly,co_only,ocs_only,only_oc"
clothes,0,647579,"cloths,clothed"
simple_background,0,612319,"blank_background,flat_background,plain_background,no_background,no_back,fb,basic_background"
male,0,562289,"guys,males,guy,boy"
unicorn,3,552786,"unicorn_pony,unicorns"
nudity,0,522683,"nudty,nude,nudiy,naked"
earth_pony,3,517653,earthpony
pegasus,3,510225,"pegasus_pony,pegasi,pegauss,winged_pegasus,peagsus,pegsus,pegaus"
explicit,5,480818
high_res,0,409576,"hi_res,highres,high_resolution"
smiling,0,408347,"smile,smiling_face"
breasts,0,399084,"boob,tits,breast,boobs,oppai"
anthro,6,366940,"anthropomorphic,anthrofied,anthromorphic,anthropomorph,anthro_pony"
twilight_sparkle,7,362028,"twilightsparkle,twileesha_sparkles,twilight_saprkle,twiight_sparkle,twilght,twilght_sparkle,ts,twilight_sparkles,twilight_sparkle_(mlp)"
alicorn,3,320928,alicorn_pony
screencap,8,298418,"screencapture,screen_capture,s2_screencap,screen_cap,sc,s1_screencap,screenshot,unedited_screencap"
transparent_background,0,290584,"tb,trasparent_background"
rainbow_dash,7,283534,"rainbowdash,rd,dashie"
blushing,0,280468,"blush,blushed,blushes"
cute,0,270204,"adorable_as_fuck,adorbs,cute_as_fuck,adorable,kawaii"
looking_at_you,0,266384,"looking_at_the_viewer,watching_you,sees_you,facing_the_viewer,looking_at_viewer"
fluttershy,7,261928,fs
equestria_girls,1,259712,"mlpeg,eqg,eg,mlp_eg,equestria_girl"
pinkie_pie,7,259156,"pinkiepie,pp,pinkie"
shipping,0,258182,pairing
human,3,252432,humans
nipples,0,247732,"mipples,nipple"
open_mouth,0,244094,"opne_mouth,mouth_open,opened_mouth,mouth_opened"
solo_female,0,238653,"female_solo,solo_female_explicit,solo_female_focus"
butt,0,237068,"buttocks,butt_cheeks,booty,rump"
wings,0,231492,wing
rarity,7,220032,ry
penis,0,217713,"cock,dick,dicks"
horn,0,207414
applejack,7,202925,"apple_jack,aj"
stallion,0,201019,stallions
vulva,0,195204,"pussy,cleft_of_venus,marehood"
suggestive,5,193065
straight,0,182370,"male/female,heterosexual,m/f,male_x_female,female\male,male_on_female,female/male,straight_couple"
duo,0,181466,two_characters
monochrome,0,176807,"no_colors,needs_color,uncoloured,uncolored,one_color,no_colour,needs_coloring,no_color"
edit,8,176413,"""edit"",manip,edited"
sex,0,174813,intercourse
white_background,0,167373,wb
twilight_sparkle_(alicorn),0,151199,"pt,princess_twilight_sparkle,twilicorn,twilight_alicorn,princess_twilight,alicorn_twilight"
tongue_out,0,150343,"tongue_sticking_out,tounge_out,tounge,stuck_out_tongue,toungue,sticking_tongue_out,tounge_sticking_out,toungue_out,tongue"
plot,0,147961
traditional_art,0,145084,"handdrawn,traditional,freehand,traditional_drawing,hand_drawing,hand_drawn"
eyes_closed,0,141829,"eyes__closed,eyes_clsoed,closed_eyes"
anus,0,140628,"butthole,pooper,asshole"
comic,0,137221
big_breasts,0,128971,"big_tits,big_boobs,big_busty_boobs,big_breast,busty,large_boobs,large_breasts,buxom"
animated,0,128061,animation
hat,0,127183,hats
3d,0,125202,3d_artwork
questionable,5,122694
humanized,0,121170,"humanisation,humanised,humanization"
